seed	exit	reason	dup_begin_turn	lines
2001	1	MAX_TURNS_EXCEEDED	0	1444
2002	1	MAX_TURNS_EXCEEDED	0	1200
2003	1	MAX_TURNS_EXCEEDED	0	1490
2004	1	MAX_TURNS_EXCEEDED	0	1270
2005	1	MAX_TURNS_EXCEEDED	0	1343
2006	1	MAX_TURNS_EXCEEDED	0	1439
2007	1	TIMEOUT_FREEZE	0	1004
2008	1	MAX_TURNS_EXCEEDED	0	1255
2009	1	TIMEOUT_FREEZE	0	1367
2010	1	MAX_TURNS_EXCEEDED	0	944
