seed	exit	reason	dup_begin_turn	lines
1001	1	MAX_TURNS_EXCEEDED	0	654
1002	1	MAX_TURNS_EXCEEDED	0	680
1003	1	MAX_TURNS_EXCEEDED	0	601
1004	1	MAX_TURNS_EXCEEDED	0	556
1005	1	MAX_TURNS_EXCEEDED	0	635
1006	1	MAX_TURNS_EXCEEDED	0	753
1007	1	MAX_TURNS_EXCEEDED	0	1042
1008	1	MAX_TURNS_EXCEEDED	0	603
1009	1	MAX_TURNS_EXCEEDED	0	557
1010	1	MAX_TURNS_EXCEEDED	0	716
1011	1	MAX_TURNS_EXCEEDED	0	609
1012	1	MAX_TURNS_EXCEEDED	0	626
